tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
candidate,2459855.157,2.9224661,5.5560255,5724.017673,11.8832,717.128,5520,3.55,2.7442901
non-candidate,2458438.299,1.17409,1.701,3680,9.1414,547.126,8242,3.61,3.67
non-candidate,2459358.397,3.3513304,2.739,400,7.6581,290.313,4886,4.33,8.71
candidate,2459360.395,2.9034242,2.154,860,10.1952,346.327,5992,3.77,2.25
non-candidate,2460061.842,5.4468377,3.303,842,9.783,269.304,6793,4.15,1.68
candidate,2459338.909,8.9021443,1.7633959,1427.968145,9.326,212.956,6606,4.09,1.7521
candidate,2459358.588,8.2197647,1.673,1040,10.2591,398.085,6657,3.93,2.12
non-candidate,2459351.741,4.5006638,4.588,2110,11.5124,636.157,8933,4.45175,1.48
candidate,2459335.573,16.3363665,1.9933922,3884.678538,11.0196,22.5455,3365,4.89744,0.326568
non-candidate,2459307.924,2.2887763,4.8634851,1890.646342,11.1567,65.1329,3953,4.6489,0.617703
candidate,2459335.81,7.4997158,2.0504305,3023.521522,10.0865,219.732,4979.2,3.92,1.90969
non-candidate,2459333.969,1.2540806,1.3435517,66025.09943,14.0644,123.032,3455,4.82691,0.399724
candidate,2459198.52,4.3888516,3.0184015,24964.54782,12.8461,362.273,5175,4.46488,0.877856
candidate,2459330.282,2.6680587,2.978,580,10.0116,231.084,6406,4.23,1.44
non-candidate,2458661.049,18.4043334,7.879331,9135.211016,13.7827,23.7607,2891,5.22041,0.133376
candidate,2458654.532,5.538329,2.2263888,1407.111865,11.0318,61.5204,3883,4.65275,0.598175
candidate,2458659.348,10.6886084,2.6672245,1501.172634,11.0318,61.5204,3883,4.65275,0.598175
candidate,2458411.639,11.5418525,2.9492981,415.9874628,11.255,242.572,6112,4.5884,0.901955
candidate,2458507.586,731.4808779,14.7095051,244.9088772,9.4826,232.265,5854,3.83792,2.0546
candidate,2458657.984,12.8910022,4.0905287,15119.39001,14.752,983.721,31000,5.59962,0.18
non-candidate,2458494.061,3.9077116,9.5278364,599.6319099,12.4375,130.457,3917,4.61771,0.64011
candidate,2458449.13,35.3573239,6.8669784,617.495317,8.83419,195.126,7607,4.31008,1.56285
candidate,2458507.658,602.2450921,9.0912461,220.3440139,8.3987,136.786,6128,3.96225,1.8626699
candidate,2458355.69,749.1605231,4.9894211,1750.980169,11.7463,72.4603,3851,4.71539,0.558169
candidate,2458411.845,3.352907,2.3906731,4205.196102,12.9383,165.285,3978,4.438,0.672832
candidate,2458328.385,4.8759656,3.3372737,154.830677,8.9504,103.01,5937,4.35104,1.1487499
candidate,2458362.732,20.1459438,4.4706494,575.5886941,11.0155,169.402,5303,4.4996,0.888701
candidate,2458333.456,11.8918633,4.78248,362.6899452,9.3391,78.6946,5461,4.57288,0.834552
candidate,2458427.02,718.1809317,2.9233151,973.6269156,10.3347,25.1426,3614,4.80335,0.425623
candidate,2458417.574,10.6306165,1.8847446,775.4826057,10.1075,140.228,5737,4.47544,0.969791
candidate,2458507.586,4.0887217,12.2281537,186.2920833,7.2298,76.6142,5423,3.73635,2.1748199
candidate,2458538.747,579.6472035,4.0952456,564.4270183,9.2546,204.982,6855,4.20414,1.5925601
non-candidate,2458327.104,1.8141215,4.6006154,129.4041201,10.5385,189.148,5789.58,4.35115,1.12713
candidate,2458388.764,97.6087634,5.5654641,658.8471408,8.9077,66.1798,5830,4.57203,0.823673
non-candidate,2459330.394,2.4360845,2.495,350,9.5115,177.018,6529,4.33,1.32
non-candidate,2458411.703,1.8756,0.989,5666.3,13.0734,77.5383,3549.7,4.87,1.23434
candidate,2458328.291,3.0749507,1.2179384,1979.28414,12.747,43.2301,3246,4.91671,0.308247
candidate,2458520.648,741.4238314,5.2389454,503.5494079,8.6661,98.2063,5944,4.30249,1.22039
candidate,2458470.496,7.5480709,4.9550247,239.8900935,8.4592,135.183,6688,4.19679,1.57319
candidate,2458412.277,2.118659,1.5585526,664.8120556,11.2473,77.7751,4002,4.5511,0.69132
candidate,2458439.34,5.4240691,1.6875037,1766.85893,11.3993,43.9662,3500,4.76752,0.465777
candidate,2460093.009,3.3784364,2.165,1232,10.3593,253.221,6311,4.23,1.41
candidate,2460092.634,2.6374449,1.661,495,10.1441,245.444,5355,3.82,1.96
candidate,2460091.75,2.5025812,2.771,807,9.462,87.7559,5603,4.49875,0.91
non-candidate,2459337.013,4.4518604,2.8339358,3558.221189,10.0199,882.905,8353.8,4.1,3.60934
candidate,2460172.849,13.576858,4.628,263,9.329001,311.844,6730,3.8,2.5
candidate,2459197.576,2.7439029,1.503168,13852.39796,13.5452,446.035,4860,4.438,0.885702
candidate,2459330.971,2.5610662,4.338,170,9.32312,211.98,6161,3.95,1.9
candidate,2459359.873,1.0604139,2.084,1050,10.2089,261.247,5801.2,4.22,1.62
candidate,2460089.736,3.2751914,2.439,827,10.4286,150.664,5496,4.33,1.03
candidate,2460089.109,5.9422824,1.911,1160,9.8459,302.514,7217.6,4.11,1.63
candidate,2459343.367,13.2689495,2.8,770,10.1908,795.894,9635,3.92,2.85
non-candidate,2459379.131,5.9685742,2.059,340,9.4128,689.355,10390,3.79,3.44
candidate,2459359.389,1.6089592,2.58,320,10.2973,454.074,7029,3.86,2.42
candidate,2459337.638,4.3780194,8.4203321,1604.382513,10.7934,455.82,4913,4.33,3.41348
candidate,2459362.616,1.0690665,1.4807714,2898.603746,11.7993,355.943,5930,4.36195,1.13442
candidate,2459363.369,3.2535266,5.1881112,6160.5328,11.8994,645.158,6368,3.91383,2.06072
candidate,2458441.049,5.8123508,2.200213,957.5741671,9.4464,72.4646,5210.8,4.58,0.796856
candidate,2459362.799,1.3290008,1.7795322,2087.911378,11.2211,365.008,5780,4.438,1.23434
candidate,2459362.926,1.4974223,2.2238426,39324.5082,12.2907,289.745,5377,4.5569,0.841058
candidate,2459363.824,10.6895417,3.6496675,643.3958437,9.3397,164.406,6255,4.19885,1.45476
non-candidate,2459363.499,3.0421334,1.5964685,2054.305028,9.8062,335.446,5715.4,3.92,2.40325
candidate,2460070.252,14.3171998,5.454,1649,9.657,283.585,7596,4.27063,1.61
candidate,2459369.102,9.2172172,7.3550279,2470.439439,10.6163,612.688,6840,3.72526,2.7639699
candidate,2460122.323,2.0134389,1.211,821,9.7688,351.087,8127,4.24828,1.75
candidate,2459364.142,3.562038,6.1241184,4495.415874,10.8267,631.098,7042,3.85746,2.42923
candidate,2459364.302,4.4742339,2.7863202,3061.515714,12.0996,284.225,5225.05,4.35079,1.04312
candidate,2459367.619,11.4041935,1.7478969,2216.71914,9.50494,330.437,6160,3.55136,3.0048201
candidate,2459175.6,3.85589,3.9555399,9747.60356,11.7231,488.66,6244.5,4.21,1.43256
candidate,2460117.072,4.3954444,1.602,1622,9.4148,365.008,5095.6,4.33,1.23434
candidate,2459377.163,5.2910096,4.122,1670,7.301,162.338,5800.55,4.33,1.23434
candidate,2459379.962,3.9693722,2.005,570,9.2752,307.139,7030,3.86,2.43
candidate,2459386.168,2.2676081,1.671,880,10.4708,359.343,5958,3.87,2
non-candidate,2460069.038,1.491916,2.3336552,1474.334788,10.3355,1337.35,9747,3.54,4.42729
candidate,2460119.138,3.7590079,3.304,869,9.087,483.206,9505,3.83,3.13
non-candidate,2460120.661,7.4398211,3.068,1362,10.0288,205.112,5822,4.14,1.45
non-candidate,2459385.729,2.6646183,4.135,840,10.4304,458.16,11526,4.56,1.52
candidate,2460116.043,5.7525195,3.718,8852,9.933,213.41,5800.55,4.33,1.23434
candidate,2459037.871,7.7121208,2.4343481,728.4849109,7.7582,58.5146,5985.4,4.4,1.08958
non-candidate,2458439.135,1.0817,1.588,341.533,7.6818,49.3375,5759.2,4.45,1.02
candidate,2459038.95,7.0642486,3.6816469,11469.75644,11.943,534.436,5478.8,4.4,1.63563
candidate,2459116.21,0.450264,1.1871566,331.3974583,11.0876,180.524,5366,4.49884,0.898718
candidate,2458355.491,3.6989939,3.1680872,198.9402668,9.8429,151.543,5811,4.33357,1.15018
candidate,2459036.763,4.4620528,4.3381703,289.9548667,10.7888,339.264,5515.2,3.91,1.72395
candidate,2459248.474,39.6251926,2.0275642,4527.828406,10.7108,286.115,5869,4.07271,1.56795
candidate,2459039.642,5.9214231,2.2680522,1221.943037,12.3813,155.501,4361,4.59663,0.687025
candidate,2459036.824,1.0929203,1.5258481,377.4316425,12.3813,155.501,4361,4.59663,0.687025
candidate,2459064.119,30.083503,3.9858103,5439.210828,10.5663,261.834,5906.5,4.16721,1.41293
candidate,2459089.902,7.1366507,2.1906434,768.4493836,10.9015,199.286,5559,4.41401,1.01775
candidate,2459036.342,2.054238,1.2287948,1994.059354,13.2896,234.682,4389,4.64365,0.655595
candidate,2459076.348,92.4918048,6.8943594,11487.57528,11.8911,179.419,4930.5,4.33,0.732008
non-candidate,2458440.194,2.87436,1.901,2490.41,9.19901,183.952,6805,4.26,1.44
candidate,2458335.665,26.0179101,4.5258048,766.5356589,10.5978,162.42,5489,4.44576,0.913252
candidate,2460236.628,13.7748361,4.454,309,9.15722,160.125,6266.98,4.19069,1.47
non-candidate,2460119.031,2.0340967,3.397,1283,10.2956,389.597,6849,3.99,2.05
candidate,2460118.517,4.4719937,2.619,170,9.6256,92.9715,5364,4.5,0.89
non-candidate,2459385.395,1.8697825,2.721,2940,10.3147,365.008,5800.55,4.33,1.23434
candidate,2460121.397,1.830108,1.936,3391,10.0209,455.557,5800.55,4.33,1.23434
candidate,2459378.526,9.3305377,5.232,5610,9.5378,236.604,6238,3.94,1.96
candidate,2459382.714,5.2574854,2.05,1250,9.3456,56.8503,4846,4.57,0.76
candidate,2460120.337,7.6247217,1.972,813,10.0819,101.606,5343,4.58,0.82
candidate,2460108.647,25.7086236,3.831,1430,10.0819,101.606,5343,4.58,0.82
candidate,2459365.247,16.155134,3.528,590,10.3468,163.32,5785,4.45,1.01
candidate,2459196.115,4.0520368,1.5605128,5512.403319,10.7329,52.616,3779,4.64,0.607751
candidate,2459363.151,4.7259317,2.7740362,6309.661533,9.550201,230.661,6203,3.98,1.85891
non-candidate,2460151.667,21.7004042,9.415,406,10.4078,300.427,5788.7,4.22,1.78
candidate,2460119.52,4.90826,4.324,8881,9.944,359.619,7995,4.2,1.83
non-candidate,2460123.888,1.3875331,2.679,952,10.4425,182.238,5678,4.33,1.14
candidate,2459383.797,17.7424733,3.082,880,9.8496,67.266,4926.2,4.67,0.69
candidate,2460100.181,5.412802,4.5898431,5278.195757,9.3777,175.367,6468,4.22,1.47364
candidate,2459422.127,3.905126,2.9136919,23549.92599,14.5787,914.699,5381,4.45342,0.947475
candidate,2459940.464,4.6182631,2.7008637,20287.61827,11.3427,198.251,5328,4.50337,0.889218
candidate,2459770.501,1.8555745,2.3121742,10888.03773,13.9174,1093.08,5651.75,4.13988,1.40959
candidate,2459939.614,3.4505658,3.0397698,15044.64532,12.7714,461.898,5402,4.37462,1.04301
candidate,2459174.841,3.3106692,3.7033867,9189.734252,12.0682,516.543,6030,4.22,1.3514301
candidate,2459884.031,6.6363577,6.385,7470,12.8668,665.068,5490,4.09312,1.46
candidate,2459422.844,4.8854844,5.2333985,7009.139498,12.4532,922.562,5974,3.84282,2.0812199
candidate,2459771.229,3.0413391,1.5149962,27645.48596,12.5386,209.435,4034,4.21431,1.02777
non-candidate,2459797.232,0.9023951,1.6045865,5385.087109,14.2502,833.364,5780,4.438,1.23434
candidate,2459392.814,2.6843081,2.7683352,18209.92066,13.814,758.753,5616.02,4.4174,1.01895
candidate,2459420.668,3.5256535,2.5111799,23882.70294,14.6147,686.284,5003.05,4.56877,0.783768
candidate,2459767.611,1.7590566,3.5349264,10499.97572,11.8931,621.061,6250,3.91912,1.9992501
candidate,2459915.163,5.8929985,3.788,17850,13.0024,686.482,6182,4.3753,1.17
candidate,2459396.41,7.4463034,2.0033138,4045.724179,11.2695,30.0346,3353,4.84911,0.375859
candidate,2459420.207,3.3792358,2.8993928,18782.53645,13.8686,714.501,5529,4.47066,0.948617
candidate,2458417.605,17.9635083,4.4297958,1266.94519,9.0567,57.3973,5229,4.55429,0.794471
candidate,2459391.084,4.0822894,3.2882557,16484.97629,14.6979,1071.8,5780,4.438,1.23434
candidate,2459391.449,4.3745757,4.8649118,8101.724742,11.0477,627.308,7305,4.05424,1.99827
candidate,2459910.395,4.0434287,3.388,8960,13.4835,1435.21,6557,4.08473,1.75
candidate,2459415.152,1.8498567,2.518276,195.4102498,7.9147,56.0739,5834,4.44433,1.0173301
candidate,2459393.258,10.3088724,2.2763645,372.3295802,7.9147,56.0739,5834,4.44433,1.0173301
candidate,2459423.78,5.2410659,3.0113696,8947.10153,13.5728,989.963,6064,4.27292,1.28562
candidate,2459394.54,4.2253498,2.7695297,7240.815237,13.4584,630.785,5501,4.39363,1.03122
candidate,2459420.804,2.4552388,1.7323271,44130.16059,14.9826,381.949,3792,4.63873,0.614823
candidate,2459392.184,4.1596197,2.4127131,17837.7775,13.5868,268.37,4230,4.55383,0.711036
candidate,2459769.924,1.0186989,1.4947875,91558.63533,14.956,365.008,5780,4.438,1.23434
candidate,2460338.434,2.7519172,1.329,9811,10.3446,213.604,5856,4.25,1.28
candidate,2459199.549,0.7649571,1.094,1900,9.1577,176.617,6307.9,3.97,1.65
candidate,2459759.878,10.6925011,3.491,1200,10.5801,210.858,5844,4.34318,1.15
candidate,2459778.55,8.8517354,4.3401879,1034.866129,8.5608,87.8966,6138,4.43818,1.07689
candidate,2459911.846,3.4149091,2.7231879,13219.64752,13.5167,718.574,5480,4.31394,1.13032
non-candidate,2459772.754,2.9985667,3.025166,28040.90686,13.7703,880.941,6126,4.46702,1.04172
candidate,2459422.768,3.1208396,2.405278,17027.40649,14.3168,1145.28,5983,4.3973,1.09921
candidate,2459420.58,1.5449334,1.1043459,4941.870091,12.8939,822.96,6136.25,4.15767,1.4874001
candidate,2459422.773,4.9427985,3.3153828,11349.48387,13.2394,739.412,5550.93,4.18442,1.32567
candidate,2459770.385,3.2175184,1.8986264,12691.80369,14.3258,843.695,5549,4.50842,0.912927
candidate,2459392.576,3.939371,5.8132051,4051.508943,11.0672,505.432,5904.4,3.84,2.0955601
candidate,2459840.459,5.7475343,1.846,11890,14.3668,254.968,3750,4.67041,0.58
candidate,2458440.432,3.5018023,3.917956,16196.19121,11.921,674.155,6383.9,4.03,1.66889
candidate,2460437.031,28.6648749,5.395,1025,10.3859,82.2168,4818,4.65,0.69
non-candidate,2459761.943,3.7006742,3.115,840,10.4787,106.424,5025,4.56,0.79
candidate,2459789.419,4.9133022,5.159,2040,10.445,368.922,5918,3.84,2.06
candidate,2459766.956,2.88069,1.784,10380,10.4673,173.117,5541,4.36,1.09
candidate,2459602.567,8.0379975,3.287,320,9.12551,360.444,5022,4.33,5.14
candidate,2459395.125,4.0887217,12.002,13520,9.85277,121.139,5557,4.44,0.99
candidate,2459799.901,5.0141991,4.5606871,6026.126007,13.3926,1249.41,6669,4.12805,1.69675
candidate,2459420.812,7.7942155,0.9710311,2950.73571,11.8933,268.041,5461.54,4.50982,0.897403
candidate,2459848.554,2.7708596,2.17,22640,13.2847,375.517,4975,4.55845,0.79
candidate,2459424.23,7.014001,2.9681334,1646.673268,13.2847,375.517,4975,4.55845,0.789304
candidate,2459421.463,2.6634154,1.8429688,37522.94895,14.1959,305.3,4051,4.54826,0.701369
candidate,2459176.319,5.5292743,2.542935,17914.45767,8.8695,126.177,6350,4.34,1.26396
candidate,2459770.41,2.2185748,1.8233621,25854.21446,6.8481,19.7638,5023,4.58,0.776484
candidate,2459422.908,3.2432488,3.0748441,17481.82164,14.4394,1140.95,5778,4.37783,1.09304
candidate,2459422.501,8.6004516,8.950521,3575.661423,13.1981,1418.77,6011.95,3.75585,2.3108399
candidate,2459420.413,3.7970076,2.5256778,16421.73149,14.148,646.647,5211.36,4.54655,0.832631
candidate,2459422.51,3.3119026,1.181072,7620.749384,13.692,698.646,5355,4.33005,1.09206
candidate,2459422.608,3.578757,3.1806502,11391.73859,13.4231,639.411,5482.59,4.36922,1.06062
candidate,2459421.078,1.5947535,1.94145,15065.25655,15.0236,1490.94,5703,4.31786,1.15986
non-candidate,2459813.94,7.8127906,6.304,8120,11.7018,782.732,8451,4.00707,2.38
candidate,2459819.788,2.7586362,2.868,4240,11.4682,296.293,5774,4.32015,1.17
candidate,2459797.406,1.1589013,1.1688702,3470.67593,12.9374,80.6532,3449,4.80176,0.427389
candidate,2458438.403,0.8820624,0.5759672,11755.45093,13.1686,308.262,4669,4.52,0.782888
candidate,2459771.442,3.8493846,2.6908269,1372.287668,11.0418,788.238,5843.47,3.27448,3.9119101
candidate,2460559.016,0.9263237,0.81,952,8.72762,12.0445,3573,4.80376,0.43
candidate,2459772.313,2.8164979,2.6896665,19270.72703,14.4889,939.744,5413,4.39994,1.0130399
candidate,2459420.283,1.752217,2.1714375,77630.41246,15.1403,565.541,4355,4.53128,0.740712
candidate,2459420.963,2.6890703,2.1209962,38330.4095,15.0893,734.772,4844,4.54518,0.785703
candidate,2459423.156,7.3405675,3.2557004,11139.70059,13.9154,1177.55,5828.81,4.14418,1.4372801
candidate,2460558.072,2.6915408,3.986,7265,9.93225,350.351,6955,4.04,1.96
candidate,2459818.051,3.9540617,3.869,5820,11.4923,479.145,5773,4.03,1.69
candidate,2459798.529,4.45417,2.27143,21409.05245,14.3945,751.776,5353.54,4.47701,0.922087
candidate,2459911.039,2.7974757,2.2149132,18699.85048,12.7678,390.594,5477,4.54393,0.867368
candidate,2459175.59,2.1751729,4.7918806,7780.64352,11.8282,754.258,6291,3.9,2.0625999
candidate,2459421.603,2.0523417,2.1224957,34476.09074,14.7344,1302.33,5767,4.31546,1.16875
candidate,2460550.715,5.006622,1.66,1290,10.4382,46.4488,4006,4.68,0.6
candidate,2460555.32,4.4331838,3.856,9166,9.63105,143.184,5667,4.24,1.26
candidate,2459794.386,1.5076298,1.93,280,8.94942,181.32,4954,4.33,2.82
candidate,2460318.213,32.535016,3.67,3821,7.3664,54.9701,6303.8,4.33,1.23434
candidate,2459765.915,5.1830043,2.783,670,9.00568,132.214,6156,4.25196,1.34
candidate,2459770.01,2.5693728,2.471,290,9.00568,132.214,6156,4.25196,1.34
candidate,2460559.123,1.18803,1.322,3840,9.159,264.751,5800.55,4.33,1.23434
candidate,2459440.84,3.6001959,2.887,7820,10.3544,395.542,7172,4.16,1.75
non-candidate,2459441.27,5.3073459,3.714,200,7.948,79.4746,5821.4,4.16,1.42
candidate,2460338.926,3.4902115,2.449,366,10.1293,175.743,6111,4.43,1.09
candidate,2460335.262,5.5387718,3.163,439,10.1293,175.743,6111,4.43,1.09
candidate,2459182.487,10.7148661,2.1121584,56325.91737,12.4258,53.5063,3054,4.438,0.422267
non-candidate,2459446.222,1.773346,3.291,710,10.351,604.164,6802,3.63,3.08
candidate,2460337.772,2.0348789,2.379,176,8.46837,334.551,8279,3.81,2.94
non-candidate,2460366.918,0.8560277,1.587,247,8.716291,413.683,11798,4.18,2.38
candidate,2459234.617,710.6982018,7.1450196,691.3914728,9.0803,62.505,5334,4.6001,0.796254
candidate,2460059.619,82.9294114,7.4967507,13067.73323,12.5542,342.605,5271,4.43,0.960919
candidate,2459038.46,2.4261538,2.1344641,754.8303067,12.5542,342.605,5271,4.43,0.960919
candidate,2459068.265,19.4723789,7.7309404,7062.880606,10.4223,421.749,7182.7,4.24,1.9674799
candidate,2458357.518,5.4107024,0.7211954,22498.10664,13.6343,365.008,2938,5.14513,0.185013
candidate,2458413.85,104.6162557,9.3317949,6111.46334,10.2301,178.26,6115.26,3.90726,1.97585
candidate,2458438.012,3.4672779,0.4055928,3657.060355,11.8371,33.4412,3383,4.89132,0.332564
candidate,2459231.764,4.0887217,6.4567709,3177.620499,11.4003,629.031,6930,4.10087,1.81171
candidate,2458416.635,16.364873,4.0478302,2075.094412,10.2666,123.739,5481,4.56,0.856226
candidate,2458410.999,1.8586624,2.0525797,497.6683497,10.2666,123.739,5481,4.56,0.856226
candidate,2458411.806,9.1910792,3.055677,940.8500219,10.2666,123.739,5481,4.56,0.856226
candidate,2459039.762,194.2432864,9.2564583,810.9983952,10.3607,373.289,7923,4.35405,1.5184
candidate,2460243.484,20.9040576,5.197,930,9.81932,121.832,5708,4.44413,1
candidate,2460258.713,10.9776867,3.596,860,9.81932,121.832,5708,4.44413,1
candidate,2459450.837,19.5620458,6.4231417,1397.814899,11.2723,99.9293,4246.8,4.5,0.758892
candidate,2459488.219,9.7607632,1.967,790,9.96064,102.609,5558,4.62634,0.8
candidate,2459883.37,2.7535993,2.141,14460,13.1361,361.155,5032.08,4.49678,0.86
candidate,2459451.623,15.2664658,2.6673792,16186.17295,11.302,193.499,5420.82,4.52994,0.874078
candidate,2459885.542,3.7224626,2.595678,19962.61058,10.9332,124.73,4926,4.51771,0.82064
candidate,2460231.734,1.2089755,1.286,668,9.0684,29.661,4199,4.65321,0.63
candidate,2460229.806,3.408833,3.163,16032,11.6238,348.494,6134,4.41,1.11
candidate,2459448.625,5.8903558,2.5374738,8410.614337,13.4911,365.008,5780,4.438,1.23434
candidate,2459174.696,4.7633952,3.0078272,13160.62983,11.9012,246.384,5258,4.51,0.87551
candidate,2460227.357,3.2047072,3.331,7448,13.1749,537.963,5342,4.33,1.23434
candidate,2459450.368,3.0717182,1.5983426,14228.62661,11.4825,176.818,5082,4.5108,0.848394
non-candidate,2459447.841,0.3643225,0.2120684,38216.78954,15.6615,233.735,3473,4.87657,0.347331
candidate,2459498.195,2.7186256,2.129,13160,11.021,275.994,6427,4.52834,1.03
candidate,2460233.367,0.9260632,1.035,221,8.1359,63.6796,5640,4.35,1.11
candidate,2460229.466,2.4841975,1.511,10361,10.931,294.001,6089,4.28,1.28
candidate,2459448.654,2.2602655,1.0103493,6129.678827,13.3455,62.9969,3236,4.88,0.341024
candidate,2459474.2,0.3994445,0.8028796,330.8173737,9.16764,18.1037,3702,4.75,0.485948
non-candidate,2459448.108,4.0249712,2.5421502,20420.73148,12.806,220.761,4492,4.51578,0.770497
candidate,2459448.512,5.8795752,2.0778157,1352.762211,10.1406,28.384,3611,4.74,0.492759
candidate,2458438.966,2.70582,4.968,7500,9.538961,275.664,6441.6,3.91,2.1
candidate,2459450.647,3.6528112,2.8788573,18681.46306,12.2192,300.384,5610,4.51915,0.907682
candidate,2459450.127,4.53347,3.6052513,11929.86197,12.1796,453.099,5846,4.31,1.1971
candidate,2460231.883,5.8176452,2.577,9178,13.0121,635.722,5633.4,4.27,1.22
candidate,2459494.881,2.1747824,1.654,560,11.375,115.461,4542,4.58,0.71
candidate,2459470.846,2.849282,1.907,4010,12.3071,159.522,4279,4.53,0.74
candidate,2459449.12,4.0984741,2.323409,16869.9465,12.5489,333.042,5198,4.33,1.0639499
candidate,2460226.956,4.0460644,5.824,8004,10.5559,376.658,6404,4.03,1.81
candidate,2459450.837,6.6629951,1.3454748,949.4386612,8.1954,70.2468,5975,4.42,1.07392
candidate,2460228.759,7.1385672,2.464,2064,11.2451,154.961,5144.5,4.6,0.77
candidate,2459468.742,3.4715644,2.13,1050,11.2451,154.961,5144.5,4.6,0.77
candidate,2459470.147,4.1591488,3.54,12800,11.29,264.78,5576,4.34,1.11
candidate,2458396.138,18.0826084,2.3867987,8002.785566,9.441,78.7806,3321,4.95373,0.296
candidate,2460230.92,2.5048178,2.077,1723,12.9485,427.038,5328,4.47,0.92
candidate,2459496.05,1.1339769,0.852,630,10.027,337.7234,5986.2,4.33,1.23434
candidate,2460228.305,5.9167817,1.286,27909,12.2614,284.21,4781,4.29,1.05
candidate,2460212.248,5.7740318,4.551,4820,6.7943,365.008,4837.8,4.33,3.19
candidate,2458440.22,8.2000875,2.4601181,1079.592727,11.2867,141.731,4865.6,4.54,0.793476
candidate,2460228.933,4.0248735,2.384,23775,12.813,232.801,4492,4.52,0.75
candidate,2460232.739,0.745637,0.671,932,10.0376,329.537,6984,4.04,1.96
candidate,2459468.23,3.0026215,3.595,5040,12.1112,491.87,5630,4.11,1.45
candidate,2460229.837,4.6003967,1.402,1130,9.962,165.593,5970.5,4.33,1.59
candidate,2460231.218,3.3129214,2.097,1815,12.8466,456.122,5512,4.44,0.98
candidate,2459168.295,5.358776,1.3697764,2708.439372,8.84294,6.86929,3562,4.97389,0.275953
candidate,2460093.052,1.8868756,2.393,368,9.7741,554.449,7751,3.81,2.57
candidate,2459312.392,9.956296,10.474,1024,9.02765,215.986,4956,4.33,3.38
candidate,2459361.882,0.3011506,0.6404841,1457.697398,11.9251,27.2684,3304,4.96212,0.286178
candidate,2459422.817,20.3129649,7.1852402,5194.325804,10.4895,309.746,6490,4.23,1.4658999
candidate,2458605.029,39.1076478,9.0245368,337.4561615,9.6632,88.0207,5490,4.61819,0.796293
candidate,2458523.845,522.6272677,9.8639237,238.5844154,8.1676,96.7153,6199,4.21534,1.40973
candidate,2458570.931,3.792456,1.2264922,3553.278882,13.0454,36.6717,3319,5.03236,0.218553
candidate,2458605.104,32.291901,8.0916468,1517.213924,10.3342,220.465,6013,4.438,1.23318
candidate,2458325.446,6.5812768,4.663367,55.2290807,8.7147,145.248,5217,4.438,2.2631199
candidate,2458597.872,3.9649053,1.6788114,1160.562614,10.9139,31.6354,3476,4.80232,0.426767
non-candidate,2458410.951,0.336826,0.883311,18251.29209,15.7298,39.4781,5780,4.438,1
candidate,2458441.156,3.7634028,2.5259027,140.4352916,9.1007,207.571,6491,4.00559,1.89742
candidate,2458330.062,8.9356558,1.9539147,420.5298106,11.0559,179.008,5631,4.57723,0.851957
candidate,2459132.226,225.1037885,4.0237136,10850.13494,11.5326,339.605,5965.99,4.28007,1.25231
candidate,2458629.331,743.4843888,3.8041623,5535.460409,11.6157,156.348,5342,4.71456,0.697666
non-candidate,2459323.08,22.1536777,7.5893785,4469.319877,10.7716,333.206,6123,4.07991,1.6267
candidate,2458676.61,692.5150646,2.6383141,1810.281162,10.3154,33.2345,3614,4.71017,0.531248
candidate,2459036.38,2.0844882,1.5541575,609.0046533,11.5832,118.765,4443.39,4.57662,0.713304
candidate,2458543.862,0.8409429,1.1780506,549.3465906,11.9212,91.313,3830,4.64404,0.608498
candidate,2458548.589,23.5422422,3.2390849,1411.971726,11.9212,91.313,3830,4.64404,0.608498
candidate,2460121.465,14.0063765,1.971,300,6.9608,48.0378,5899,4.22221,1.33
non-candidate,2459036.843,1.2253159,3.435758,6006.517507,15.764,212.947,3725,4.92832,0.297644
candidate,2458411.561,1.1759834,0.9928338,14881.47961,13.741,365.008,3054,5.08962,0.512881
candidate,2459391.46,1.9737719,2.1771701,32350.43739,15.0523,642.051,4664.23,4.61963,0.697971
candidate,2459413.719,30.3599812,6.0823745,19347.59906,13.7589,436.257,4815,4.5293,0.795118
candidate,2458822.702,13.4755461,2.2763948,1090.093441,11.9212,61.7358,3710,4.7642,0.469524
candidate,2458693.434,10.7155521,2.727777,424.299807,11.0444,72.8333,4207,4.66778,0.623617
candidate,2459823.527,0.768988,0.512,870,11.7495,69.81,3734,4.69992,0.54
candidate,2460317.227,27.9815639,4.901,722,10.3203,194.791,5905,4.34239,1.16
candidate,2459010.845,10.4834062,3.2981777,1767.884184,10.1658,54.9588,4271,4.60188,0.677846
candidate,2459391.112,1.6255124,2.6590029,10095.36145,14.4669,938.715,5483.74,4.38272,1.04426
candidate,2459634.199,8.6239097,2.6192964,675.1210806,10.7757,182.249,5917,4.58257,0.878735
candidate,2458733.313,88.495683,6.9510849,2838.575657,11.3523,223.757,5509.61,4.47728,0.939951
candidate,2458414.166,17.5288347,2.1115133,1131.507568,9.6438,76.6986,5164,4.5371,0.829519
candidate,2458684.085,0.9167992,1.3578155,39.0383592,8.5954,67.7223,5659,5.62196,0.973028
candidate,2458719.362,22.3428773,6.700128,5934.920012,11.7889,477.052,6184,4.20121,1.42864
