tfopwg_disp,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,st_tmag,st_dist,st_teff,st_logg,st_rad
non-candidate,2458628.963,2.19296,4.586,4933.74,10.0196,566.502,7009.8,3.6,2.95
candidate,2459359.555,1.725841,3.674,2710,9.3529,321.671,7348,3.9,2.39
non-candidate,2458601.381,1.1923,3.119,3730,9.0039,209.919,6534,3.95,2.04
non-candidate,2458601.338,11.47606,6.083,3050,10.0067,1710.22,5800.55,4.33,1.23434
candidate,2459360.161,0.5971314,0.468,910,9.9806,426.003,7710,3.98,2.28
candidate,2459307.386,1.4821386,2.1867078,2102.65683,10.4291,582.521,7066,3.78,2.6647301
non-candidate,2459307.936,0.9209526,1.8602735,360.8801529,10.11,490.288,6553,3.65,2.8908899
candidate,2459376.411,9.188506,2.492,460,8.7215,79.5561,5876,4.48,0.98
candidate,2459344.462,13.9028391,2.1264429,647.2701039,8.7215,79.5561,5876,4.48,0.983215
candidate,2458629.909,10.1826983,2.8275109,667.4752458,8.7581,105.096,6153,4.34814,1.14582
candidate,2460140.221,6.441006,1.812,914,7.3661,23.606,4867,4.438,0.8
candidate,2458328.04,3.1743504,2.751086,15457.32476,11.6714,342.14,5943,4.42524,1.15706
non-candidate,2459044.495,20.0731588,3.8449215,1152.964546,10.5135,205.43,6033,4.37,1.14849
non-candidate,2459058.793,2.66903,1.548,3110,10.5891,262.794,5803.5,4.07,1.56
non-candidate,2458627.804,6.63371,2.122,1555.34,10.5652,58.0624,4138.1,4.54,0.63
candidate,2459037.656,2.94308,4.073,4490,10.5598,320.212,4437,4.33,3.13
non-candidate,2459367.034,341.2811281,6.303026,972.5797241,7.5622,70.0154,6058.6,4.2,1.39203
candidate,2460086.979,10.8680523,2.375,1553,10.2809,79.5225,4664,4.55,0.76
candidate,2458630.719,11.1149,2.26,900,10.0717,523.425,5042,4.33,4.94
candidate,2459336.074,4.0782392,4.8475616,6046.695969,10.0068,281.314,6501,4.08,1.74836
non-candidate,2458655.549,7.14386,1.467,11146.4,9.941,417.08,7860,4.15,1.91
non-candidate,2459083.352,7.04083,2.979,1580,9.7906,102.238,5317,4.49,0.91
candidate,2458326.105,2.1061569,1.4688934,12142.22385,13.183,508.842,5380,4.4337,0.940697
non-candidate,2460146.99,2.4545635,2.321,4248,9.6789,243.838,6610,4.15,1.64
non-candidate,2460131.89,11.4756978,0.808,8341,9.3871,312.461,7262,4,2.13
non-candidate,2458626.542,2.78186,2.456,490,9.5162,292.085,6819,3.92,2.21
non-candidate,2460140.221,6.4410082,1.798,7076,9.66865,23.8853,3469,4.71,0.53
candidate,2460148.616,2.4887726,2.632,4852,8.1129,174.475,8048,4.438,1.23434
candidate,2458658.327,4.45199,2.109,8483.38,10.526,359.215,6708.3,4.2,1.57
candidate,2458325.662,5.0100708,2.0644756,409.4812214,9.5268,94.4178,5551,4.46214,0.906282
candidate,2459386.964,2.2281625,2.015,630,10.4055,167.598,5731,4.43,1.02
non-candidate,2458660.163,4.13812,3.911,5560,10.5084,365.008,4898.4,4.33,1.23434
candidate,2458666.522,10.95663,3.588,3830,10.5024,421.518,6456,3.92,2.07
candidate,2460069.774,2.4997996,2.865171,14621.20596,11.6035,302.448,5650,4.28867,1.13732
non-candidate,2458656.451,1.66226,3.321,6030,10.4063,386.323,7301,4.23,1.64
non-candidate,2458658.611,4.07611,2.062,1454.18,11.0605,338.644,5800.55,4.33,1.23434
